OSM ID,Functionality,Original Global Efficiency,New Global Efficiency,Change in Efficiency,Normalized Efficiency Change,Relative Efficiency Change,Absolute Relative Efficiency Change,Norm_Func,Norm_Eff,Criticality Score,Buffer Distance (km)
211549389,69.07,0.002736288,0.002662651,-7.36E-05,7.36e-05,-0.026897753,0.026897753,0.5634223799738467,0.020901427147506882,0.2921619035606768,5
1056870512,69.43,0.008715295,0.008627672,-8.76E-05,8.76e-05,-0.010051295,0.010051294878716097,0.5566971791518773,0.024892969639187367,0.29079507439553237,5
44852909,68.3,0.002701133,0.002698337,-2.80E-06,2.8e-06,-0.001036602,0.001036602,0.5778068372875025,0.000715627,0.2892612319171126,5
116867772,68.41,0.003729046,0.00372288,-6.17E-06,6.17e-06,-0.001654579,0.001654579,0.575751915,0.001676448,0.2887141813303144,5
108121352,68.35,0.002716864,0.002715365,-1.50E-06,1.5e-06,-0.000552107,0.000552107,0.5768727816177845,0.000344983,0.28860888246656846,5
298413379,68.44,0.004824828,0.004823322,-1.51E-06,1.51e-06,-0.000312965,0.000312965,0.5751914814122923,0.000347834,0.2877696579147122,5
152605009,71.25,0.006891439,0.006705921,-0.000185518,0.000185518,-0.026920067,0.026920067057112453,0.5226975527741454,0.052810388,0.28775397,5
1105041636,70.83,0.019438964,0.019298382,-0.000140582,0.000140582,-0.00723197,0.00723197,0.53054362,0.039998677,0.28527114874427506,5
48678266,68.92,0.004949,0.004933821,-1.52E-05,1.52e-05,-0.003071328,0.003071328,0.5662245469830003,0.004250993,0.28523777,5
26564826,70.45,0.004692526,0.004588599,-0.000103927,0.000103927,-0.022147347,0.022147347,0.537642443,0.029547964,0.28359520350232637,5
26564826,70.49,0.004692526,0.004588599,-0.000103927,0.000103927,-0.022147347,0.022147347,0.5368951989538577,0.029547964,0.28322158123443925,5
27834821,70.21,0.006292158,0.006241313,-5.08E-05,5.08e-05,-0.008073542,0.008073542,0.5421259107042782,0.014400915089627235,0.2782634128969527,5
